Test Name,WLP8SUB,WLP8SUB640,FULLQ,FULL1,FULL2,FULL3,FULL4,FULL5,ES-WLP8SUB,ES-FULL4
111,584.9385581,1198.039611,1430.351002,1487.197489,1680.752304,1022.472936,1233.004311,949.7396725,502.4588428,1108.699733
112,624.0094125,1198.035363,1737.163227,2292.852582,1856.748194,1929.955513,1346.562702,1591.820589,503.9725508,1109.521897
121,595.3844671,1207.242656,1463.259198,1531.412801,1720.824821,1030.22442,1264.846908,969.3098967,508.7231857,1131.871838
122,607.8567388,1207.241012,1760.349733,2326.078842,1873.980027,1955.997479,1348.97033,1614.085699,511.1292892,1132.632521
211,584.9385581,1198.039611,1430.399839,1487.229631,1680.77497,1022.437567,1232.994646,949.7493316,502.4588428,1108.678686
212,598.3916884,1198.035363,1737.152479,2292.844069,1856.752186,1929.963743,1346.571981,1591.821898,503.9725508,1109.506855
221,595.3844671,1207.242656,1362.882453,1531.459706,1720.855962,1030.19212,1264.849956,969.3221045,508.7231857,1131.861829
222,594.3105961,1207.241012,1760.340891,2326.102302,1873.986093,1956.017831,1348.983487,1614.104652,511.1292892,1132.627272
